anb,gender,acc_qx_prop
1,M,0.1
2,M,0.1
3,M,0.1
4,M,0.1
5,M,0.1
6,M,0.1
7,M,0.1
8,M,0.1
9,M,0.1
10,M,0.1
11,M,0.1
12,M,0.1
13,M,0.1
14,M,0.1
15,M,0.1
16,M,0.1
17,M,0.1
18,M,0.1
19,M,0.1
20,M,0.1
21,M,0.1
22,M,0.1
23,M,0.1
24,M,0.1
25,M,0.1
26,M,0.1
27,M,0.1
28,M,0.1
29,M,0.1
30,M,0.1
31,M,0.1
32,M,0.1
33,M,0.1
34,M,0.1
35,M,0.1
36,M,0.1
37,M,0.1
38,M,0.1
39,M,0.1
40,M,0.1
41,M,0.1
42,M,0.1
43,M,0.1
44,M,0.1
45,M,0.1
46,M,0.1
47,M,0.1
48,M,0.1
49,M,0.1
50,M,0.1
51,M,0.1
52,M,0.1
53,M,0.1
54,M,0.1
55,M,0.1
56,M,0.1
57,M,0.1
58,M,0.1
59,M,0.1
60,M,0.1
61,M,0.1
62,M,0.1
63,M,0.1
64,M,0.1
65,M,0.1
66,M,0.1
67,M,0.1
68,M,0.1
69,M,0.1
70,M,0.1
71,M,0.1
72,M,0.1
73,M,0.1
74,M,0.1
75,M,0.1
76,M,0.1
77,M,0.1
78,M,0.1
79,M,0.1
80,M,0.1
81,M,0.1
82,M,0.1
83,M,0.1
84,M,0.1
85,M,0.1
86,M,0.1
87,M,0.1
88,M,0.1
89,M,0.1
90,M,0.1
91,M,0.1
92,M,0.1
93,M,0.1
94,M,0.1
95,M,0.1
96,M,0.1
97,M,0.1
98,M,0.1
99,M,0.1
100,M,0.1
101,M,0.1
102,M,0.1
103,M,0.1
104,M,0.1
105,M,0.1
106,M,0.1
107,M,0.1
108,M,0.1
109,M,0.1
110,M,0.1
111,M,0.1
112,M,0.1
113,M,0.1
114,M,0.1
115,M,0.1
116,M,0.1
117,M,0.1
118,M,0.1
119,M,0.1
120,M,0.1
121,M,0.1
1,F,0.1
2,F,0.1
3,F,0.1
4,F,0.1
5,F,0.1
6,F,0.1
7,F,0.1
8,F,0.1
9,F,0.1
10,F,0.1
11,F,0.1
12,F,0.1
13,F,0.1
14,F,0.1
15,F,0.1
16,F,0.1
17,F,0.1
18,F,0.1
19,F,0.1
20,F,0.1
21,F,0.1
22,F,0.1
23,F,0.1
24,F,0.1
25,F,0.1
26,F,0.1
27,F,0.1
28,F,0.1
29,F,0.1
30,F,0.1
31,F,0.1
32,F,0.1
33,F,0.1
34,F,0.1
35,F,0.1
36,F,0.1
37,F,0.1
38,F,0.1
39,F,0.1
40,F,0.1
41,F,0.1
42,F,0.1
43,F,0.1
44,F,0.1
45,F,0.1
46,F,0.1
47,F,0.1
48,F,0.1
49,F,0.1
50,F,0.1
51,F,0.1
52,F,0.1
53,F,0.1
54,F,0.1
55,F,0.1
56,F,0.1
57,F,0.1
58,F,0.1
59,F,0.1
60,F,0.1
61,F,0.1
62,F,0.1
63,F,0.1
64,F,0.1
65,F,0.1
66,F,0.1
67,F,0.1
68,F,0.1
69,F,0.1
70,F,0.1
71,F,0.1
72,F,0.1
73,F,0.1
74,F,0.1
75,F,0.1
76,F,0.1
77,F,0.1
78,F,0.1
79,F,0.1
80,F,0.1
81,F,0.1
82,F,0.1
83,F,0.1
84,F,0.1
85,F,0.1
86,F,0.1
87,F,0.1
88,F,0.1
89,F,0.1
90,F,0.1
91,F,0.1
92,F,0.1
93,F,0.1
94,F,0.1
95,F,0.1
96,F,0.1
97,F,0.1
98,F,0.1
99,F,0.1
100,F,0.1
101,F,0.1
102,F,0.1
103,F,0.1
104,F,0.1
105,F,0.1
106,F,0.1
107,F,0.1
108,F,0.1
109,F,0.1
110,F,0.1
111,F,0.1
112,F,0.1
113,F,0.1
114,F,0.1
115,F,0.1
116,F,0.1
117,F,0.1
118,F,0.1
119,F,0.1
120,F,0.1
121,F,0.1